Sample,Mean,Std,Min,Max,Range,Group,Is_Control
LB0,0.007778219749652295,0.006508961324064804,-0.00022,0.04474,0.04496,LB,True
LD0,0.005355692429962249,0.003606303001901292,0.00011,0.02413,0.02402,LD,True
SS0,0.005930226505066562,0.0032110439620787793,0.00013,0.02386,0.023729999999999998,SS,True
SR0,0.0056217365388436325,0.0034154230845596448,-0.00073,0.02425,0.024980000000000002,SR,True
LB1,0.004662696205046692,0.002611298309655608,4e-05,0.01129,0.01125,LB,False
LD1,0.0009417782634611563,0.0008326420267994958,4e-05,0.00519,0.00515,LD,False
SS1,0.003139030399364196,0.0038767950590830715,-0.00025,0.02505,0.0253,SS,False
SR1,0.008317860123186966,0.0044447389889417065,2e-05,0.02086,0.02084,SR,False
LB2-1,0.003970741108682695,0.0022828034785695515,3e-05,0.00979,0.00976,LB,False
LB2-2,0.004703616133518777,0.0026151830896068633,0.0,0.0107,0.0107,LB,False
LB2-3,0.004514283727399166,0.0025865506829162483,3e-05,0.01224,0.012209999999999999,LB,False
LB2-4,0.005689145638784026,0.003188378270481387,2e-05,0.01362,0.013600000000000001,LB,False
LB2-5,0.006007651500099345,0.003364518602169641,8e-05,0.0139,0.013819999999999999,LB,False
LD2-1,0.004662380290085436,0.003362257323049903,2e-05,0.01716,0.017140000000000002,LD,False
LD2-2,0.006392912775680509,0.0036452344034767076,5e-05,0.01509,0.01504,LD,False
LD2-3,0.0048062129942380285,0.003377815377070165,4e-05,0.01667,0.016630000000000002,LD,False
LD2-4,0.0065657381283528715,0.0036518492516879825,0.0001,0.01508,0.01498,LD,False
LD2-5,0.007119622491555733,0.003919509575379419,5e-05,0.01634,0.01629,LD,False
SS2-1,0.006363353864494337,0.0037778236640362427,4e-05,0.01678,0.01674,SS,False
SS2-2,0.005635344724816213,0.0038134621315480156,3e-05,0.01951,0.01948,SS,False
SS2-3,0.0009417782634611563,0.0008326420267994958,4e-05,0.00519,0.00515,SS,False
SS2-4,0.005782567057421021,0.004094475156815471,4e-05,0.02202,0.021980000000000003,SS,False
SS2-5,0.007648801907411087,0.004335085250814597,0.0001,0.01882,0.01872,SS,False
SR 2-1,0.008019429763560501,0.00350629000417365,-0.00026,0.02114,0.0214,SR,False
SR 2-2,0.005414480429167495,0.0043756438183448305,7e-05,0.02498,0.024909999999999998,SR,False
SR 2-3,0.008284124776475265,0.004365480179820474,8e-05,0.0194,0.01932,SR,False
SR 2-4,0.007878086628253527,0.0041689426558682435,8e-05,0.01997,0.01989,SR,False
SR 2-5,0.008317860123186966,0.0044447389889417065,2e-05,0.02086,0.02084,SR,False
LB3-1,0.005422086230876217,0.004748747100588519,-0.00014,0.03313,0.03327,LB,False
LB3-2,0.0076362209417842235,0.008029890503028322,-0.0003,0.05559,0.05589,LB,False
LB3-3,0.006007651500099345,0.003364518602169641,8e-05,0.0139,0.013819999999999999,LB,False
LB3-4,0.0050839022451818,0.003920830530950662,6e-05,0.02827,0.02821,LB,False
LB3-5,0.006238180011921319,0.005542778923759919,1e-05,0.04099,0.040979999999999996,LB,False
LD3-1,0.007161645142062389,0.006894745526188535,-0.0002,0.05004,0.05024,LD,False
LD3-2,0.008216811047089212,0.004668977560858488,6e-05,0.03432,0.034260000000000006,LD,False
LD3-3,0.007119622491555733,0.003919509575379419,5e-05,0.01634,0.01629,LD,False
LD3-4,0.005717492549175442,0.004456064021964488,2e-05,0.03175,0.03173,LD,False
LD3-5,0.005532489568845619,0.0041479129045197535,5e-05,0.02991,0.029859999999999998,LD,False
SS3-1,0.004690349692032585,0.0032431622052737784,0.00012,0.02164,0.02152,SS,False
SS3-2,0.006273540631829923,0.0030347992320887045,-7e-05,0.02238,0.02245,SS,False
SS3-3,0.007648801907411087,0.004335085250814597,0.0001,0.01882,0.01872,SS,False
SS3-4,0.00512134909596662,0.0028192235608619776,0.00012,0.02043,0.02031,SS,False
SS3-5,0.0056995310947744885,0.0030709047476728236,0.00012,0.02268,0.02256,SS,False
SR3-1,0.005195767931651103,0.0033456398241430217,0.0001,0.02346,0.023360000000000002,SR,False
SR3-2,0.005626938207828333,0.004289467050988795,9e-05,0.0317,0.03161,SR,False
SR3-3,0.008317860123186966,0.0044447389889417065,2e-05,0.02086,0.02084,SR,False
SR3-4,0.005606191138485993,0.0035726516697173636,3e-05,0.02579,0.02576,SR,False
SR3-5,0.005614601629246971,0.004555501169495897,8e-05,0.03332,0.033240000000000006,SR,False
LB4-1,0.0055282833300218555,0.003117494452382248,6e-05,0.02303,0.022969999999999997,LB,False
LB4-2,0.005645813630041725,0.003126775920354174,0.0,0.02304,0.02304,LB,False
LB4-3,0.006007651500099345,0.003364518602169641,8e-05,0.0139,0.013819999999999999,LB,False
LB4-4,0.005465110272203456,0.003319253791281349,4e-05,0.02352,0.02348,LB,False
LB4-5,0.005495529505265249,0.0031654674453231784,0.0,0.0232,0.0232,LB,False
LD4-1,0.005697319690045699,0.004276949737226556,-0.0001,0.03016,0.03026,LD,False
LD4-2,0.009164206238823764,0.009251314073740245,-0.00036,0.05961,0.05997,LD,False
LD4-3,0.007119622491555733,0.003919509575379419,5e-05,0.01634,0.01629,LD,False
LD4-4,0.005355781839856945,0.0036797932162199983,0.00018,0.02612,0.02594,LD,False
LD4-5,0.00598302404132724,0.0035590269895404234,7e-05,0.02581,0.02574,LD,False
SS4-1,0.0057385952712100145,0.003493338947411712,0.00015,0.02488,0.02473,SS,False
SS4-2,0.005609276773296245,0.0038439200657372193,0.00014,0.02628,0.02614,SS,False
SS4-3,0.007648801907411087,0.004335085250814597,0.0001,0.01882,0.01872,SS,False
SS4-4,0.005141313332008742,0.003538335417691445,0.00018,0.02445,0.02427,SS,False
SS4-5,0.006000844426783231,0.0034973044972536013,0.00017,0.02571,0.02554,SS,False
SR4-1,0.00561276375918935,0.0033965405623657846,0.00016,0.02475,0.02459,SR,False
SR4-2,0.005358273395589112,0.0037449329670686776,0.00016,0.02714,0.02698,SR,False
SR4-3,0.008317860123186966,0.0044447389889417065,2e-05,0.02086,0.02084,SR,False
SR4-4,0.005349435724220147,0.003773132779939766,0.00014,0.02614,0.026,SR,False
SR4-5,0.005309046294456586,0.003571458386346815,0.00016,0.02527,0.02511,SR,False
